Scientific Name,Scientific Name Synonyms,English Name,English Name Synonyms,Species Code,Element Code,Global Status,Global Status Review Date,Prov Status,Prov Status Review Date,Prov Status Change Date,COSEWIC,COSEWIC Comments,BC List,Provincial FRPA,Land Use Objectives,Ecosection,Prov Wildlife Act,GOERT,MBCA,SARA,SARA Comments,General Status Canada,CITES,Name Category,Class (English),Species Level,Kingdom,Phylum,Class,Order,Family,MOE Region,Regional Dist,Municipality,BGC,Habitat Subtype,Origin,Presence,Breeding Bird,Ecosystem Group,Endemic,CDC Maps,Mapping Status
Cottus hubbsi,Cottus bairdi hubbsi,Columbia Sculpin,NA,F-COHU,AFC4E02053,G4Q,Nov-11,S3,May-19,May-01,SC (Nov 2019),NA,Blue,NA,NA,Big Bend Trench; Cariboo Basin; Cariboo Mountains; Cariboo Plateau; Central Columbia Mountains; Central Chilcotin Ranges; Chilcotin Plateau; Central Pacific Ranges; East Kootenay Trench; Eastern Purcell Mountains; Eastern Pacific Ranges; Fraser River Basin; Guichon Upland; Hozameen Range; Leeward Pacific Ranges; McGillivray Range; Nicola Basin; Northern Kootenay Mountains; Northern Okanagan Basin; Northern Okanagan Highland; Northern Shuswap Highland; Northern Thompson Upland; Okanagan Range; Pavilion Ranges; Quesnel Highland; Southern Columbia Mountains; Southern Chilcotin Ranges; Selkirk Foothills; Shuswap Basin; Southern Okanogan Basin; Southern Okanogan Highland; Southern Purcell Mountains; Shuswap River Highland; Thompson Basin; Tranquille Upland; Western Chilcotin Ranges; Western Okanagan Upland,NA,NA,NA,1-SC (Jun 2003),NA,3 - Sensitive(2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,2;3;4;5;7;8,Cariboo Regional District; Columbia Shuswap Regional District; Fraser Valley Regional District; Regional District of Central Kootenay; Regional District of Central Okanagan; Regional District of East Kootenay; Regional District of Fraser-Fort George; Regional District of Kootenay Boundary; Regional District of Mount Waddington; Regional District of North Okanagan; Regional District of Okanagan-Similkameen; Squamish-Lillooet Regional District; Strathcona Regional District; Thompson-Nicola Regional District,Keremeos; Osoyoos; Penticton; Princeton; Oliver; Summerland; Lillooet; Ashcroft; Chase; Kamloops; Logan Lake; Cache Creek; Clearwater; Lytton; Merritt; Nelson; Slocan; Salmo; Silverton; Creston; Kaslo; New Denver; Nakusp; Castlegar; Revelstoke; Salmon Arm; Sicamous; ; Kimberley; Grand Forks; Greenwood; Midway; Montrose; Rossland; Trail; Warfield; Fruitvale; Armstrong; Coldstream; Enderby; Lumby; Spallumcheen; Vernon; Kelowna; Lake Country; Peachland; West Kelowna,BG; ICH; IDF; PP,NA,Native,Regularly occurring,NA,NA,N,Y,NA
Cottus rhotheus,NA,Torrent Sculpin,NA,F-CORH,AFC4E02220,G5,Feb-16,S4S5,May-19,May-19,NA,NA,Yellow,NA,NA,NA,NA,NA,NA,NA,NA,4 - Secure(2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Cottus ricei,NA,Spoonhead Sculpin,NA,F-CORI,AFC4E02230,G5,Aug-15,S4,May-19,Jan-03,NAR (May 1989),NA,Yellow,NA,NA,NA,NA,NA,NA,NA,NA,4 - Secure(2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Cottus sp. 9,NA,Rocky Mountain Sculpin,NA,F-COSP-09,AFC4E02380,GNRT3T4Q,Oct-21,S2,May-19,May-19,SC (Nov 2019),NA,Red,NA,NA,Big Bend Trench; Cariboo Mountains; Central Columbia Mountains; Crown of the Continent; Central Park Ranges; East Kootenay Trench; Elk Valley; Eastern Purcell Mountains; Flathead Valley; McGillivray Range; Northern Kootenay Mountains; Northern Shuswap Highland; Southern Columbia Mountains; Selkirk Foothills; Southern Park Ranges; Southern Purcell Mountains; Shuswap River Highland; Upper Columbia Valley,NA,NA,NA,1-SC (May 2017),NA,4 - Secure(2000),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,3;4;7;8,Columbia Shuswap Regional District; Regional District of Central Kootenay; Regional District of East Kootenay; Regional District of Fraser-Fort George; Regional District of North Okanagan; Thompson-Nicola Regional District,Slocan; Silverton; Kaslo; New Denver; Nakusp; Golden; Revelstoke; Canal Flats; Cranbrook; Elkford; Fernie; Invermere; ; Kimberley; Radium Hot Springs; Sparwood,NA,NA,Native,Regularly occurring,NA,NA,N,Y,NA
Couesius plumbeus,NA,Lake Chub,NA,F-COPL,AFCJB06010,G5,Aug-15,S5,May-19,Jan-92,DD,Northern British Columbia Hotsprings population only.,Yellow,NA,NA,NA,NA,NA,NA,NA,NA,4 - Secure(2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae,NA,NA,NA,BG; BWBS; CDF; CWH; ESSF; ICH; IDF; MH; MS; PP; SBPS; SBS; SWB,NA,Native,Regularly occurring,NA,NA,N,N,NA
Couesius plumbeus pop. 2,Couesius plumbeus pop. 1,Lake Chub - Liard Hot Springs Populations,Lake Chub - Hotsprings Ecotype,F-COPL-02,AFCJB06012,G5TNRQ,NA,S1S2,May-19,May-19,T (Dec 2018),NA,Red,NA,NA,Cassiar Ranges; Clear Hills; Eastern Muskwa Ranges; Eastern Skeena Mountains; Etsho Plateau; Fort Nelson Lowland; Finlay River Trench; Halfway Plateau; Hyland Plateau; Kechika Mountains; Kechika River Trench; Liard Plain; Maxhamish Upland; Misinchinka Ranges; Muskwa Foothills; Muskwa Upland; Northern Omineca Mountains; Northern Skeena Mountains; Peace Foothills; Peace Lowland; Petitot Plain; Rabbit Plateau; Southern Boreal Plateau; Sikanni Chief Upland; Simpson Upland; Stikine Highland; Stikine Plateau; Trout Lake Plain; Tuya Range; Western Muskwa Ranges,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Population,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae,6;7;9,Peace River Regional District; Regional District of Kitimat-Stikine; Stikine Region (Unincorporated),NRRM,BWBS,NA,Native,Regularly occurring,NA,NA,Y,Y,NA
Couesius plumbeus pop. 3,Couesius plumbeus pop. 1,Lake Chub - Atlin Warm Springs Populations,Lake Chub - Hotsprings Ecotype,F-COPL-03,AFCJB06013,G5TNRQ,NA,S1,May-19,May-19,T (Dec 2018),NA,Red,NA,NA,Alsek Ranges; Cassiar Ranges; Central Boundary Ranges; Eastern Muskwa Ranges; Eastern Skeena Mountains; Finlay River Trench; Hyland Plateau; Kechika Mountains; Kluane Ranges; Kechika River Trench; Liard Plain; Manson Plateau; Meziadin Mountains; Nass Basin; Northern Boundary Ranges; Northern Omineca Mountains; Northern Skeena Mountains; Rabbit Plateau; Southern Boreal Plateau; Southern Boundary Ranges; Simpson Upland; Southern Omineca Mountains; Southern Skeena Mountains; Stikine Highland; Stikine Plateau; Tatshenshini Basin; Tagish Highland; Teslin Basin; Teslin Plateau; Tahltan Highland; Tuya Range; Whitehorse Upland,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Population,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae,6;7;9,Peace River Regional District; Regional District of Bulkley-Nechako; Regional District of Kitimat-Stikine; Stikine Region (Unincorporated),NRRM,BWBS; SWB,NA,Native,Regularly occurring,NA,NA,Y,Y,NA
Cryptacanthodes aleutensis,NA,Dwarf Wrymouth,NA,F-CRAL,AFCSF01020,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Cryptacanthodidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Cryptacanthodes giganteus,NA,Giant Wrymouth,NA,F-CRGI,AFCSF01030,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Cryptacanthodidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Culaea inconstans,NA,Brook Stickleback,NA,F-CUIN,AFCPA02010,G5,Aug-15,S5,Mar-18,Nov-00,NA,NA,Yellow,NA,NA,NA,NA,NA,NA,NA,NA,4 - Secure(2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Gasterosteidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Cyclothone atraria,NA,Yellow Bristlemouth,NA,F-CYAT,AFC7A01020,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Stomiiformes,Gonostomatidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Cyclothone pallida,NA,Tan Bristlemouth,NA,F-CYPA,AFC7A01030,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Stomiiformes,Gonostomatidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Cyclothone pseudopallida,NA,Slender Bristlemouth,NA,F-CYPS,AFC7A01040,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Stomiiformes,Gonostomatidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Cyclothone signata,NA,Showy Bristlemouth,NA,F-CYSI,AFC7A01050,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Stomiiformes,Gonostomatidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Cymatogaster aggregata,NA,Shiner Perch,NA,F-CYAG,AFCQK01010,G5,Dec-17,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Embiotocidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Cyprinus carpio,NA,Common Carp,NA,F-CYCA,AFCJB08010,G5,Sep-96,SNA,May-19,Jan-03,NA,NA,Exotic,NA,NA,NA,NA,NA,NA,NA,NA,7 - Exotic(2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae,NA,NA,NA,NA,NA,Exotic,Regularly occurring,NA,NA,N,N,NA
Danaphos oculatus,NA,Bottlelight,NA,F-DAOC,AFC7D03010,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Stomiiformes,Sternoptychidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Dasycottus setiger,NA,Spinyhead Sculpin,NA,F-DASE,AFC4E28010,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Psychrolutidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Derepodichthys alepidotus,NA,Cuskpout,NA,F-DEAL,AFCS812010,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Diaphus theta,NA,California Headlightfish,NA,F-DITH,AFCVH02010,G5,Dec-17,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Myctophiformes,Myctophidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Elassodiscus caudatus,NA,Humpback Snailfish,NA,F-ELCA,AFC4G10070,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Embassichthys bathybius,NA,Deepsea Sole,NA,F-EMBA,AFCTB03010,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Pleuronectiformes,Pleuronectidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Embiotoca lateralis,NA,Striped Seaperch,NA,F-EMLA,AFCQK05020,G5,Dec-17,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Embiotocidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Engraulis mordax,NA,Northern Anchovy,NA,F-ENMO,AFCFB04020,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Clupeiformes,Engraulidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Enophrys bison,NA,Buffalo Sculpin,NA,F-ENBI,AFC4E29010,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Enophrys lucasi,NA,Leister Sculpin,NA,F-ENLU,AFC4E29030,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Entosphenus macrostomus,Lampetra macrostoma,Cowichan Lake Lamprey,Lake Lamprey; Vancouver Island Lake Lamprey; Vancouver Lamprey,F-ENMA,AFBAA02120,G2,Oct-19,S2,May-19,May-19,T (Dec 2017),NA,Red,NA,NA,Bulkley Basin; Bulkley Ranges; Central Chilcotin Ranges; Chilcotin Plateau; Continental Slope; Central Pacific Ranges; Dixon Entrance; Eastern Pacific Ranges; Fraser River Basin; Fraser Lowland; Georgia Lowland; Hecate Lowland; Hecate Strait; Juan de Fuca Strait; Johnstone Strait; Kimsquit Mountains; Kitimat Ranges; Leeward Island Mountains; Meziadin Mountains; Nanaimo Lowland; Nass Mountains; Nazko Upland; North Coast Fjords; Nechako Upland; Northern Island Mountains; Northern Pacific Ranges; Nahwitti Lowland; Outer Fjordland; Pavilion Ranges; Queen Charlotte Ranges; Queen Charlotte Sound; Queen Charlotte Strait; Southern Boundary Ranges; Southern Chilcotin Ranges; Southern Gulf Islands; Strait of Georgia; Southern Pacific Ranges; Vancouver Island Shelf; Western Chilcotin Ranges; Western Chilcotin Upland; Windward Island Mountains,NA,NA,NA,1-T (Jun 2003),NA,1 - At Risk(2005),NA,Vertebrate Animal,Lampreys,Species,Animalia,Craniata,Petromyzontida,Petromyzontiformes,Petromyzontidae,1;2;3;5;6,Capital Regional District; Central Coast Regional District; Comox Valley Regional District; Cariboo Regional District; Cowichan Valley Regional District; Metro Vancouver Regional District; North Coast Regional District; Regional District of Alberni-Clayoquot; Regional District of Bulkley-Nechako; Regional District of Kitimat-Stikine; Regional District of Mount Waddington; Regional District of Nanaimo; Sunshine Coast Regional District; Squamish-Lillooet Regional District; Strathcona Regional District; Thompson-Nicola Regional District; qathet Regional District,Anmore; Belcarra; Bowen Island; Burnaby; Delta; North Vancouver - City; Port Moody; Richmond; Surrey; Vancouver; West Vancouver; White Rock; Lions Bay; North Vancouver - District; Squamish; Port Alberni; Tofino; Ucluelet; Central Saanich; Colwood; Esquimalt; Highlands; Langford; Metchosin; North Saanich; Oak Bay; Saanich; Sidney; Sooke; Victoria; View Royal; Cumberland; Comox; Courtenay; Duncan; Ladysmith; Lake Cowichan; North Cowichan; Alert Bay; Port Alice; Port Hardy; Port McNeill; Parksville; Lantzville; Nanaimo; Qualicum Beach; Powell River; Gibsons; Sechelt; Campbell River; Gold River; Sayward; Tahsis; Zeballos; Kitimat; Stewart; Port Edward; Prince Rupert,CWH,NA,Native,Regularly occurring,NA,NA,Y,Y,NA
Entosphenus tridentatus,Lampetra tridentata,Pacific Lamprey,NA,F-ENTR,AFBAA02100,G4,Feb-12,S5,May-19,May-10,NA,NA,Yellow,NA,NA,NA,NA,NA,NA,NA,NA,4 - Secure(2005),NA,Vertebrate Animal,Lampreys,Species,Animalia,Craniata,Petromyzontida,Petromyzontiformes,Petromyzontidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Eopsetta jordani,NA,Petrale Sole,NA,F-EOJO,AFCTB04010,G5,Dec-17,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Pleuronectiformes,Pleuronectidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Eptatretus deani,NA,Black Hagfish,NA,F-EPDE,AFABA01010,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,hagfishes,Species,Animalia,Craniata,Myxini,Myxiniformes,Myxinidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Eptatretus stoutii,NA,Pacific Hagfish,NA,F-EPST,AFABA01020,G5,Dec-17,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,hagfishes,Species,Animalia,Craniata,Myxini,Myxiniformes,Myxinidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Erilepis zonifer,NA,Skilfish,NA,F-ERZO,AFC4C02010,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Anoplopomatidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Esox lucius,NA,Northern Pike,NA,F-ESLU,AFCHD01020,G5,Aug-15,S5,Jan-04,NA,NA,NA,Yellow,NA,NA,NA,NA,NA,NA,NA,NA,4 - Secure(2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Esociformes,Esocidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Eumicrotremus orbis,NA,Pacific Spiny Lumpsucker,NA,F-EUOR,AFC4G13030,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cyclopteridae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Gadus macrocephalus,NA,Pacific Cod,NA,F-GAMA,AFCMA08010,G5,Dec-17,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gadiformes,Gadidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Galeorhinus galeus,NA,Soupfin Shark,Tope,F-GAGA,AFDDG02030,GNR,NA,SNR,NA,NA,SC (May 2021),NA,Not Reviewed,NA,NA,NA,NA,NA,NA,1-SC (Mar 2009),NA,NA,NA,Vertebrate Animal,cartilaginous fishes,Species,Animalia,Craniata,Chondrichthyes,Carcharhiniformes,Triakidae,NA,NA,NA,NA,Ocean / Pelagic / Obligate,Native,Regularly occurring,NA,NA,N,N,NA
Gasterosteus aculeatus,NA,Threespine Stickleback,NA,F-GAAC,AFCPA03010,G5,Dec-17,S5,Mar-18,Jan-92,NA,NA,Yellow,NA,NA,NA,NA,NA,NA,NA,NA,4 - Secure(2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Gasterosteidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Gasterosteus aculeatus pop. 1,Gasterosteus aculeatus ssp.,Charlotte Unarmoured Threespine Stickleback,Charlotte Unarmoured Stickleback,F-GAAC-01,AFCPA03014,G5T1T2Q,Jul-19,S1S2,Mar-18,Mar-18,E (Dec 2023),NA,Red,NA,NA,Continental Slope; Dixon Entrance; Hecate Lowland; Hecate Strait; North Coast Fjords; Nahwitti Lowland; Queen Charlotte Lowland; Queen Charlotte Ranges; Queen Charlotte Sound; Queen Charlotte Strait; Sub-Arctic Pacific; Southern Boundary Ranges; Skidegate Plateau; Transitional Pacific; Vancouver Island Shelf,NA,NA,NA,1-SC (Aug 2019),NA,NA,NA,Vertebrate Animal,ray-finned fishes,Population,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Gasterosteidae,1;5;6,Central Coast Regional District; North Coast Regional District; Regional District of Kitimat-Stikine; Regional District of Mount Waddington,Daajing Giids; Masset; Port Clements,CWH,NA,Native,Regularly occurring,NA,NA,Y,Y,NA
Gasterosteus aculeatus pop. 2,NA,Little Quarry Lake Benthic Threespine Stickleback,NA,F-GAAC-02,AFCPA03016,G5TNRQ,NA,S1,May-19,May-19,T (Dec 2023),NA,Red,NA,NA,Central Pacific Ranges; Eastern Pacific Ranges; Fraser Lowland; Georgia Lowland; Hecate Lowland; Juan de Fuca Strait; Johnstone Strait; Leeward Island Mountains; Nanaimo Lowland; Northern Island Mountains; Nahwitti Lowland; Outer Fjordland; Queen Charlotte Strait; Southern Gulf Islands; Strait of Georgia; Southern Pacific Ranges,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Population,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Gasterosteidae,1;2,Capital Regional District; Comox Valley Regional District; Cowichan Valley Regional District; Fraser Valley Regional District; Metro Vancouver Regional District; Regional District of Mount Waddington; Regional District of Nanaimo; Sunshine Coast Regional District; Squamish-Lillooet Regional District; Strathcona Regional District; qathet Regional District,Anmore; Belcarra; Bowen Island; Burnaby; Coquitlam; Delta; Maple Ridge; North Vancouver - City; Pitt Meadows; Port Moody; Richmond; Surrey; Vancouver; West Vancouver; White Rock; Lions Bay; North Vancouver - District; Squamish; Central Saanich; Highlands; Langford; North Saanich; Oak Bay; Saanich; Sidney; Comox; Courtenay; Ladysmith; North Cowichan; Parksville; Lantzville; Nanaimo; Qualicum Beach; Powell River; Gibsons; Sechelt; Campbell River; Sayward; Harrison Hot Springs; Kent; Mission,CWHxm,NA,Native,Regularly occurring,NA,NA,Y,Y,NA
Gasterosteus aculeatus pop. 3,NA,Little Quarry Limnetic Threespine Stickleback,NA,F-GAAC-03,AFCPA03017,G5TNRQ,NA,S1,May-19,May-19,T (Dec 2023),NA,Red,NA,NA,Central Pacific Ranges; Eastern Pacific Ranges; Fraser Lowland; Georgia Lowland; Hecate Lowland; Juan de Fuca Strait; Johnstone Strait; Leeward Island Mountains; Nanaimo Lowland; Northern Island Mountains; Nahwitti Lowland; Outer Fjordland; Queen Charlotte Strait; Southern Gulf Islands; Strait of Georgia; Southern Pacific Ranges,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Population,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Gasterosteidae,1;2,Capital Regional District; Comox Valley Regional District; Cowichan Valley Regional District; Fraser Valley Regional District; Metro Vancouver Regional District; Regional District of Mount Waddington; Regional District of Nanaimo; Sunshine Coast Regional District; Squamish-Lillooet Regional District; Strathcona Regional District; qathet Regional District,Anmore; Belcarra; Bowen Island; Burnaby; Coquitlam; Delta; Maple Ridge; North Vancouver - City; Pitt Meadows; Port Moody; Richmond; Surrey; Vancouver; West Vancouver; White Rock; Lions Bay; North Vancouver - District; Squamish; Central Saanich; Highlands; Langford; North Saanich; Oak Bay; Saanich; Sidney; Comox; Courtenay; Ladysmith; North Cowichan; Parksville; Lantzville; Nanaimo; Qualicum Beach; Powell River; Gibsons; Sechelt; Campbell River; Sayward; Harrison Hot Springs; Kent; Mission,CWHxm,NA,Native,Regularly occurring,NA,NA,Y,Y,NA
Gasterosteus sp. 1,NA,Giant Threespine Stickleback,Giant Black Stickleback,F-GASP-01,AFCPA03X10,G1G2,Jul-19,S1S2,Mar-18,Mar-18,SC (Dec 2023),NA,Red,NA,NA,Continental Slope; Dixon Entrance; Hecate Lowland; Hecate Strait; North Coast Fjords; Nahwitti Lowland; Queen Charlotte Lowland; Queen Charlotte Ranges; Queen Charlotte Sound; Queen Charlotte Strait; Sub-Arctic Pacific; Southern Boundary Ranges; Skidegate Plateau; Transitional Pacific; Vancouver Island Shelf,NA,NA,NA,1-SC (Aug 2019),NA,3 - Sensitive(2000),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Gasterosteidae,1;5;6,Central Coast Regional District; North Coast Regional District; Regional District of Kitimat-Stikine; Regional District of Mount Waddington,Daajing Giids; Masset; Port Clements,CWH,NA,Native,Regularly occurring,NA,NA,Y,Y,NA
Gasterosteus sp. 12,NA,Hadley Lake Limnetic Stickleback,NA,F-GASP-12,AFCPA03140,GX,Nov-18,SX,Mar-18,Nov-94,X (May 2000),NA,Extinct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Gasterosteidae,NA,NA,NA,CDF,NA,Native,Regularly occurring,NA,NA,Y,Y,NA
Gasterosteus sp. 13,NA,Hadley Lake Benthic Stickleback,NA,F-GASP-13,AFCPA03150,GX,Nov-18,SX,Mar-18,Nov-94,X (May 2000),NA,Extinct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Gasterosteidae,NA,NA,NA,CDF,NA,Native,Regularly occurring,NA,NA,Y,Y,NA
